CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
22qvsCN,L_middletemporal,0.37,0.08,0.22,0.52,315,386,1.67e-06,3.07e-06,701,lh,0.1664019105650013,1.0137502630528303,0.012569826843440645,0.0838985687274721,0.0827605888602368,584,0.37
22qvsCN,L_parahippocampal,-0.59,0.08,-0.74,-0.44,315,386,6.8e-14,3.4e-13,701,lh,0.1419923979078971,1.0100306139239714,0.010725957705215103,0.0835907283752143,0.0827605888602368,584,-0.59
22qvsCN,L_paracentral,0.55,0.08,0.4,0.7,315,386,2.65e-12,9.47e-12,701,lh,0.2087907284844583,1.0215642751687584,0.0157718339570403,0.0845452609715474,0.0827605888602368,584,0.55
22qvsCN,L_parsopercularis,0.57,0.08,0.42,0.72,315,386,2.6300000000000004e-13,1.15e-12,701,lh,0.1700048874171607,1.014347899759112,0.012841991958605456,0.0839480294932085,0.0827605888602368,584,0.57
22qvsCN,L_parsorbitalis,0.44,0.08,0.29,0.59,315,386,1.71e-08,3.99e-08,701,lh,0.2585720930571187,1.0328889230250944,0.019532266337797727,0.0854824954967726,0.0827605888602368,584,0.44
22qvsCN,L_parstriangularis,0.5,0.08,0.35,0.66,315,386,1e-10,2.92e-10,701,lh,0.1947534591914286,1.0187879611906627,0.01471147326905887,0.0843154915918593,0.0827605888602368,584,0.5
22qvsCN,L_pericalcarine,0.72,0.08,0.57,0.87,315,386,8.679999999999999e-20,2.03e-18,701,lh,0.2573619043092968,1.0325866306464109,0.019440849941457377,0.0854574776015048,0.0827605888602368,584,0.72
22qvsCN,L_postcentral,0.61,0.08,0.46,0.77,315,386,4.9e-15,3.43e-14,701,lh,0.1993295859291462,1.0196726356172774,0.015057149112031116,0.0843887077683555,0.0827605888602368,584,0.61
22qvsCN,L_posteriorcingulate,-0.13,0.08,-0.28,0.02,315,386,0.0917,0.105,701,lh,0.2107243510940018,1.0219612282978197,0.0159178977930864,0.0845781130462584,0.0827605888602368,584,-0.13
22qvsCN,L_precentral,0.42,0.08,0.27,0.57,315,386,6.740000000000002e-08,1.3900000000000001e-07,701,lh,0.1934859788469978,1.0185464270274482,0.014615729125239462,0.0842955020822818,0.0827605888602368,584,0.42
22qvsCN,L_precuneus,0.37,0.08,0.22,0.52,315,386,1.35e-06,2.55e-06,701,lh,0.1266028694300775,1.0079822848383444,0.009563448768198863,0.0834212074539083,0.0827605888602368,584,0.37
22qvsCN,L_rostralanteriorcingulate,0.22,0.08,0.07,0.36,315,386,0.00514,0.00679,701,lh,0.283732439618703,1.0394729901695288,0.02143285268639335,0.0860273967707413,0.0827605888602368,584,0.22
