SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,d_icv_thresholded
22qvsCN,R_inferiortemporal,-0.75,0.08,-0.9,-0.6,315,386,3.510000000000001e-21,1.1200000000000002e-20,701,R_inferiortemporal,rh,0.1463527859563971,0.011055336872520055,0.0840662703418397,566,-0.75
22qvsCN,R_isthmuscingulate,0.03,0.08,-0.12,0.17,315,386,0.7340000000000001,0.745,701,R_isthmuscingulate,rh,0.1798584080766769,0.013586316636536373,0.0840662703418397,566,0.03
22qvsCN,R_lateraloccipital,-0.8,0.08,-0.95,-0.65,315,386,1.06e-23,3.7e-23,701,R_lateraloccipital,rh,0.0883526703971253,0.006674068610610249,0.0840662703418397,566,-0.8
22qvsCN,R_lateralorbitofrontal,-0.14,0.08,-0.29,0.01,315,386,0.0675,0.0774,701,R_lateralorbitofrontal,rh,0.338660973367915,0.02558209686061799,0.0840662703418397,566,-0.14
22qvsCN,R_lingual,-1.43,0.09,-1.6,-1.26,315,386,6.029999999999999e-63,1.4099999999999997e-61,701,R_lingual,rh,0.120006334526438,0.009065153398729105,0.0840662703418397,566,-1.43
22qvsCN,R_medialorbitofrontal,-0.31,0.08,-0.46,-0.16,315,386,4.94e-05,7.2e-05,701,R_medialorbitofrontal,rh,0.2373507957582443,0.017929231663890984,0.0840662703418397,566,-0.31
22qvsCN,R_middletemporal,-0.4,0.08,-0.55,-0.25,315,386,3.35e-07,6.16e-07,701,R_middletemporal,rh,0.1118631366940052,0.008450024724076194,0.0840662703418397,566,-0.4
22qvsCN,R_parahippocampal,-0.21,0.08,-0.36,-0.07,315,386,0.00524,0.00692,701,R_parahippocampal,rh,0.2797618263430707,0.021132916699075053,0.0840662703418397,566,-0.21
22qvsCN,R_paracentral,-0.5,0.08,-0.66,-0.35,315,386,1e-10,2.34e-10,701,R_paracentral,rh,0.1558819207241439,0.01177515777837196,0.0840662703418397,566,-0.5
22qvsCN,R_parsopercularis,-0.01,0.08,-0.16,0.14,315,386,0.905,0.905,701,R_parsopercularis,rh,0.172803742272672,0.013053414536472779,0.0840662703418397,566,
22qvsCN,R_parsorbitalis,-0.21,0.08,-0.36,-0.06,315,386,0.00643,0.00834,701,R_parsorbitalis,rh,0.1869218196284564,0.014119879381269067,0.0840662703418397,566,-0.21
22qvsCN,R_parstriangularis,-0.57,0.08,-0.72,-0.41,315,386,5.16e-13,1.34e-12,701,R_parstriangularis,rh,0.1977247608861874,0.014935922301380227,0.0840662703418397,566,-0.57
22qvsCN,R_pericalcarine,-1.22,0.08,-1.38,-1.06,315,386,1.2999999999999998e-48,1.2999999999999998e-47,701,R_pericalcarine,rh,0.1651985256525704,0.01247892440173246,0.0840662703418397,566,-1.22
22qvsCN,R_postcentral,-0.77,0.08,-0.93,-0.62,315,386,2.5000000000000002e-22,8.32e-22,701,R_postcentral,rh,0.2003338837533729,0.015133012722652597,0.0840662703418397,566,-0.77
22qvsCN,R_posteriorcingulate,-0.33,0.08,-0.48,-0.18,315,386,2.0600000000000003e-05,3.13e-05,701,R_posteriorcingulate,rh,0.162336046691134,0.012262695725234227,0.0840662703418397,566,-0.33
22qvsCN,R_precentral,0.32,0.08,0.17,0.47,315,386,3.07e-05,4.57e-05,701,R_precentral,rh,0.1560208692246287,0.01178565380323922,0.0840662703418397,566,0.32
22qvsCN,R_precuneus,-1.28,0.08,-1.45,-1.12,315,386,6.65e-53,7.76e-52,701,R_precuneus,rh,0.114700935562511,0.00866438909208443,0.0840662703418397,566,-1.28
22qvsCN,R_rostralanteriorcingulate,-0.49,0.08,-0.64,-0.33,315,386,4.53e-10,9.32e-10,701,R_rostralanteriorcingulate,rh,0.1753326949058068,0.01324444898184563,0.0840662703418397,566,-0.49
22qvsCN,R_rostralmiddlefrontal,-0.94,0.08,-1.09,-0.78,315,386,3.4399999999999995e-31,1.5000000000000001e-30,701,R_rostralmiddlefrontal,rh,0.1875342156885125,0.014166139141198348,0.0840662703418397,566,-0.94
22qvsCN,R_superiorfrontal,-0.13,0.08,-0.28,0.02,315,386,0.1,0.111,701,R_superiorfrontal,rh,0.1548408529084814,0.011696516600931604,0.0840662703418397,566,-0.13
22qvsCN,R_superiorparietal,-1.06,0.08,-1.22,-0.91,315,386,9.75e-39,6.21e-38,701,R_superiorparietal,rh,0.1742287298901008,0.01316105661548683,0.0840662703418397,566,-1.06
22qvsCN,R_superiortemporal,-0.37,0.08,-0.52,-0.22,315,386,1.6e-06,2.67e-06,701,R_superiortemporal,rh,0.117555156610781,0.008879993974431278,0.0840662703418397,566,-0.37
22qvsCN,R_supramarginal,-0.47,0.08,-0.62,-0.32,315,386,1.7399999999999996e-09,3.4899999999999997e-09,701,R_supramarginal,rh,0.1777082723446137,0.013423897624938718,0.0840662703418397,566,-0.47
22qvsCN,R_frontalpole,0.03,0.08,-0.12,0.18,315,386,0.662,0.682,701,R_frontalpole,rh,0.4164824308930746,0.031460648630090085,0.0840662703418397,566,
22qvsCN,R_temporalpole,-0.55,0.08,-0.7,-0.4,315,386,1.83e-12,4.59e-12,701,R_temporalpole,rh,0.3636998202085135,0.02747350524695866,0.0840662703418397,566,-0.55
22qvsCN,R_transversetemporal,-0.37,0.08,-0.52,-0.22,315,386,1.86e-06,3.03e-06,701,R_transversetemporal,rh,0.2243868641979294,0.01694994978924136,0.0840662703418397,566,-0.37
22qvsCN,R_insula,0.5,0.08,0.35,0.65,315,386,1.89e-10,4.14e-10,701,R_insula,rh,0.374478321744222,0.028287702015947627,0.0840662703418397,566,0.5
