Structure,Cohen_d,n_patients,n_controls,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,Cohen_d_thresholded
L_medialorbitofrontal,-0.13,1911,7663,9574,lh,0.2972194770645651,1.043235073004418,0.006075199580781437,0.0863387489614977,0.0827605888602368,584,-0.13
L_middletemporal,-0.09,1911,7663,9574,lh,0.1664019105650013,1.0137502630528303,0.003401273790297809,0.0838985687274721,0.0827605888602368,584,-0.09
L_parahippocampal,-0.07,1911,7663,9574,lh,0.1419923979078971,1.0100306139239714,0.0029023406028563115,0.0835907283752143,0.0827605888602368,584,-0.07
L_paracentral,0.0,1911,7663,9574,lh,0.2087907284844583,1.0215642751687584,0.0042677060019329985,0.0845452609715474,0.0827605888602368,584,
L_parsopercularis,-0.06,1911,7663,9574,lh,0.1700048874171607,1.014347899759112,0.00347491904288349,0.0839480294932085,0.0827605888602368,584,-0.06
L_parsorbitalis,-0.07,1911,7663,9574,lh,0.2585720930571187,1.0328889230250944,0.005285242699626795,0.0854824954967726,0.0827605888602368,584,-0.07
L_parstriangularis,-0.05,1911,7663,9574,lh,0.1947534591914286,1.0187879611906627,0.003980782636860915,0.0843154915918593,0.0827605888602368,584,-0.05
L_pericalcarine,0.09,1911,7663,9574,lh,0.2573619043092968,1.0325866306464109,0.005260506305343196,0.0854574776015048,0.0827605888602368,584,0.09
L_postcentral,0.04,1911,7663,9574,lh,0.1993295859291462,1.0196726356172774,0.004074319182692821,0.0843887077683555,0.0827605888602368,584,0.04
L_posteriorcingulate,-0.1,1911,7663,9574,lh,0.2107243510940018,1.0219612282978197,0.004307229465815335,0.0845781130462584,0.0827605888602368,584,-0.1
L_precentral,-0.02,1911,7663,9574,lh,0.1934859788469978,1.0185464270274482,0.003954875195891083,0.0842955020822818,0.0827605888602368,584,-0.02
L_precuneus,-0.02,1911,7663,9574,lh,0.1266028694300775,1.0079822848383444,0.002587776907770596,0.0834212074539083,0.0827605888602368,584,-0.02
L_rostralanteriorcingulate,-0.13,1911,7663,9574,lh,0.283732439618703,1.0394729901695288,0.005799523016626504,0.0860273967707413,0.0827605888602368,584,-0.13
